                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.65935,                0.43342,                0.99379,                0.97262,                0.96749,                0.98661,                0.65593,                0.65362,                 0.4673,                 0.9899,             0.00058635,             0.00058635,             0.00058635
                      2,                0.69568,                0.48223,                0.99564,                0.96482,                0.96043,                0.98351,                0.64595,                 0.6828,                0.55939,                0.99233,              0.0011223,              0.0011223,              0.0011223
                      3,                0.74931,                0.51284,                 1.0107,                0.97676,                0.96109,                0.98603,                0.69332,                 0.5942,                0.46958,                0.98732,              0.0015993,              0.0015993,              0.0015993
                      4,                0.75378,                 0.5005,                  1.014,                0.94876,                 0.9366,                0.97794,                0.58959,                 0.6843,                0.54703,                0.98734,              0.0017029,              0.0017029,              0.0017029
                      5,                0.74974,                0.50302,                 1.0078,                0.97004,                0.96109,                0.98935,                0.62593,                0.61698,                0.53426,                0.98598,              0.0016039,              0.0016039,              0.0016039
                      6,                0.74061,                0.58277,                 1.0146,                 0.9679,                0.93863,                0.98211,                0.59753,                0.73485,                0.53101,                0.99346,              0.0015049,              0.0015049,              0.0015049
                      7,                0.75808,                0.49674,                 1.0159,                0.96879,                0.96637,                 0.9837,                0.66874,                0.64808,                0.48743,                0.98976,              0.0014058,              0.0014058,              0.0014058
                      8,                0.72723,                 0.4924,                 1.0028,                0.95949,                0.97276,                0.98508,                0.67331,                0.63567,                0.51276,                0.98627,              0.0013068,              0.0013068,              0.0013068
                      9,                 0.7278,                0.49615,                0.99863,                0.94941,                0.94919,                0.97485,                0.60872,                0.70559,                0.54096,                0.99234,              0.0012078,              0.0012078,              0.0012078
                     10,                0.71441,                0.47727,                 1.0048,                0.97238,                0.95909,                0.98513,                0.60488,                0.71886,                0.51968,                0.99228,              0.0011088,              0.0011088,              0.0011088
                     11,                0.71303,                0.48762,                0.99696,                0.96404,                0.96109,                0.98261,                0.67604,                0.63031,                0.52384,                0.98567,              0.0010097,              0.0010097,              0.0010097
                     12,                0.70336,                0.49113,                 1.0169,                 0.9725,                0.96334,                0.98824,                0.67406,                0.63812,                0.49295,                0.98445,             0.00091071,             0.00091071,             0.00091071
                     13,                0.69163,                0.47699,                 1.0041,                0.96789,                0.97276,                0.98303,                0.69842,                0.61294,                0.47408,                0.98239,             0.00081169,             0.00081169,             0.00081169
                     14,                0.68604,                0.46842,                 1.0107,                0.98429,                0.97508,                0.98812,                0.67503,                0.60254,                0.51917,                0.98401,             0.00071266,             0.00071266,             0.00071266
                     15,                0.69992,                0.46781,                 1.0048,                0.97176,                0.98054,                0.98715,                 0.6913,                0.61044,                0.47943,                0.98461,             0.00061364,             0.00061364,             0.00061364
                     16,                0.68054,                0.45821,                 1.0007,                 0.9607,                0.96498,                0.98548,                0.68378,                0.59952,                0.46656,                0.98308,             0.00051461,             0.00051461,             0.00051461
                     17,                0.64386,                 0.4403,                0.98784,                0.97223,                0.95331,                0.98644,                0.67665,                0.62977,                 0.4375,                0.98539,             0.00041558,             0.00041558,             0.00041558
                     18,                0.62839,                0.41573,                 1.0044,                0.96663,                0.96109,                0.98585,                 0.6423,                0.65984,                0.47057,                0.98653,             0.00031656,             0.00031656,             0.00031656
                     19,                0.64381,                0.43094,                0.99429,                0.96522,                0.97185,                 0.9882,                0.65861,                0.66715,                0.46583,                0.98687,             0.00021753,             0.00021753,             0.00021753
                     20,                0.62816,                0.42057,                 1.0041,                0.95449,                0.97926,                0.98585,                0.69033,                0.57529,                0.46228,                0.98108,             0.00011851,             0.00011851,             0.00011851
