                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.71311,                 0.4067,                0.83356,                0.96823,                0.81503,                0.85225,                0.62624,                0.56847,                0.33508,                0.80675,              0.0005526,              0.0005526,              0.0005526
                      2,                0.67511,                0.38561,                0.82392,                0.97337,                0.83628,                0.86208,                0.65844,                0.52376,                0.32829,                0.80022,              0.0010973,              0.0010973,              0.0010973
                      3,                0.66015,                0.37965,                0.82162,                0.97771,                0.83078,                0.86287,                0.64495,                 0.5502,                0.33629,                0.80143,               0.001631,               0.001631,               0.001631
                      4,                0.64948,                0.37606,                0.81967,                0.98474,                  0.839,                0.86969,                0.65548,                0.52682,                0.34007,                0.79805,              0.0016175,              0.0016175,              0.0016175
                      5,                0.63463,                0.35613,                0.81709,                0.96786,                0.84085,                0.87038,                0.66211,                0.53655,                0.31319,                0.80097,               0.001601,               0.001601,               0.001601
                      6,                0.62295,                0.34607,                0.81581,                0.97292,                 0.8458,                0.87356,                0.67652,                0.49409,                0.30607,                0.79596,              0.0015845,              0.0015845,              0.0015845
                      7,                0.60488,                0.33532,                0.81351,                0.97264,                0.84304,                0.87219,                0.67432,                0.47985,                 0.2938,                0.79286,               0.001568,               0.001568,               0.001568
                      8,                 0.6196,                 0.3404,                0.81353,                0.97629,                0.85134,                0.88585,                0.68012,                0.47909,                0.29585,                0.79203,              0.0015515,              0.0015515,              0.0015515
                      9,                0.59568,                0.32999,                0.81118,                 0.9541,                0.85757,                0.88223,                0.68992,                0.48749,                0.29624,                 0.7926,               0.001535,               0.001535,               0.001535
                     10,                0.59672,                0.32842,                0.81103,                0.96109,                0.85345,                 0.8859,                0.67738,                0.51758,                0.30798,                0.79575,              0.0015185,              0.0015185,              0.0015185
                     11,                 0.5783,                0.31783,                0.80911,                0.96307,                0.86172,                0.88361,                0.68794,                0.46696,                0.28578,                0.79037,               0.001502,               0.001502,               0.001502
                     12,                0.57859,                0.31767,                0.80896,                0.94656,                0.87234,                0.88463,                0.68782,                0.47678,                0.29162,                0.79302,              0.0014855,              0.0014855,              0.0014855
                     13,                 0.5815,                0.31807,                0.80956,                0.95312,                0.86837,                0.89394,                0.70874,                0.45601,                0.28188,                0.78935,               0.001469,               0.001469,               0.001469
                     14,                0.56381,                0.30987,                0.80675,                0.96602,                0.86611,                0.89265,                 0.6936,                0.47128,                0.28407,                0.79014,              0.0014525,              0.0014525,              0.0014525
                     15,                0.56573,                0.31384,                0.80737,                0.97908,                0.87057,                0.89727,                0.70562,                0.45928,                 0.2886,                0.78937,               0.001436,               0.001436,               0.001436
                     16,                0.55827,                0.30579,                0.80632,                0.98339,                0.87258,                0.89618,                0.70861,                0.45227,                0.27443,                0.78775,              0.0014195,              0.0014195,              0.0014195
                     17,                0.55292,                0.30276,                 0.8055,                0.98047,                0.85972,                0.89439,                0.69815,                0.44991,                0.27697,                0.78675,              0.0014029,              0.0014029,              0.0014029
                     18,                0.56275,                0.30743,                0.80593,                0.98499,                0.85897,                0.89979,                0.69637,                0.48531,                0.28906,                0.79107,              0.0013864,              0.0013864,              0.0013864
                     19,                0.56045,                0.30883,                0.80633,                0.97302,                0.87435,                0.90129,                0.71103,                0.45322,                0.27373,                0.78711,              0.0013699,              0.0013699,              0.0013699
                     20,                0.54681,                0.29823,                0.80431,                0.95067,                0.87862,                0.89867,                0.69996,                0.44267,                0.27045,                 0.7863,              0.0013534,              0.0013534,              0.0013534
                     21,                 0.5526,                0.29958,                0.80539,                0.98364,                0.84887,                0.88381,                0.70372,                0.44546,                 0.2727,                0.78713,              0.0013369,              0.0013369,              0.0013369
                     22,                  0.546,                0.29765,                0.80299,                0.97819,                  0.872,                0.90345,                0.72561,                0.45074,                0.27089,                0.78718,              0.0013204,              0.0013204,              0.0013204
                     23,                0.55502,                0.29821,                0.80564,                0.98108,                 0.8787,                0.90432,                0.72167,                0.44172,                0.26815,                0.78624,              0.0013039,              0.0013039,              0.0013039
                     24,                0.54388,                0.29323,                0.80281,                0.98243,                0.86618,                0.90422,                0.72711,                0.43458,                0.26181,                0.78504,              0.0012874,              0.0012874,              0.0012874
                     25,                0.53933,                0.29217,                0.80244,                0.98378,                0.87785,                0.90897,                 0.7349,                0.44297,                0.27096,                0.78484,              0.0012709,              0.0012709,              0.0012709
                     26,                0.53526,                0.29372,                0.80179,                0.98076,                0.87408,                0.90643,                0.71817,                0.43662,                0.26566,                0.78496,              0.0012544,              0.0012544,              0.0012544
                     27,                0.53195,                0.28673,                0.80048,                0.98159,                0.86843,                0.90526,                0.72797,                0.43348,                0.26044,                0.78344,              0.0012379,              0.0012379,              0.0012379
                     28,                0.53208,                0.28519,                0.80127,                0.96896,                 0.8793,                0.90748,                0.71499,                0.45191,                0.26221,                0.78559,              0.0012214,              0.0012214,              0.0012214
                     29,                0.53641,                 0.2865,                0.80207,                0.97981,                0.87181,                 0.8949,                 0.7215,                0.43743,                0.26692,                0.78506,              0.0012049,              0.0012049,              0.0012049
                     30,                0.53022,                0.28646,                 0.8013,                 0.9693,                 0.8859,                0.90855,                0.73823,                0.43222,                0.25759,                 0.7834,              0.0011884,              0.0011884,              0.0011884
                     31,                0.52773,                0.28294,                0.80091,                 0.9752,                0.88741,                0.91168,                0.73291,                0.43396,                0.25997,                0.78415,              0.0011719,              0.0011719,              0.0011719
                     32,                0.52642,                0.27956,                0.80015,                0.98812,                0.87655,                0.91173,                 0.7179,                0.43911,                0.26059,                0.78421,              0.0011554,              0.0011554,              0.0011554
                     33,                0.52727,                0.28077,                0.80064,                0.98369,                0.87862,                0.91037,                0.73326,                0.43007,                0.25237,                0.78304,              0.0011389,              0.0011389,              0.0011389
                     34,                0.52482,                0.28085,                 0.8001,                0.96294,                0.87428,                0.90344,                0.72628,                0.42314,                0.25463,                0.78267,              0.0011224,              0.0011224,              0.0011224
                     35,                0.52405,                0.27977,                0.80057,                0.98575,                0.88332,                0.91294,                0.73923,                0.42611,                0.25149,                0.78307,              0.0011059,              0.0011059,              0.0011059
                     36,                0.52366,                0.27769,                0.79996,                 0.9767,                0.87899,                0.91723,                0.74282,                0.42148,                0.25007,                0.78258,              0.0010894,              0.0010894,              0.0010894
                     37,                0.51984,                0.27847,                0.80042,                 0.9756,                0.88949,                0.91074,                  0.727,                0.42529,                0.25698,                 0.7822,              0.0010729,              0.0010729,              0.0010729
                     38,                0.51787,                0.27516,                0.79816,                0.98663,                0.88503,                0.91896,                0.72776,                0.43017,                0.25528,                 0.7833,              0.0010564,              0.0010564,              0.0010564
                     39,                0.51759,                 0.2758,                0.79979,                0.98656,                0.88277,                0.91819,                 0.7455,                0.42709,                0.24865,                0.78268,              0.0010399,              0.0010399,              0.0010399
