                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.45642,                0.23165,                0.79139,                0.99973,                0.99938,                  0.995,                0.92412,                 0.3776,                0.21889,                0.77276,             0.00065979,             0.00065979,             0.00065979
                      2,                0.46733,                0.24453,                0.79177,                0.99951,                0.99843,                  0.995,                0.92059,                0.38735,                0.22629,                0.77322,              0.0012608,              0.0012608,              0.0012608
                      3,                0.47733,                0.24921,                0.79277,                 0.9995,                0.99877,                  0.995,                0.92239,                  0.384,                0.22886,                0.77444,              0.0017958,              0.0017958,              0.0017958
                      4,                0.47362,                0.24893,                0.79259,                0.99944,                0.99901,                  0.995,                0.92237,                0.37993,                0.23342,                0.77331,               0.001703,               0.001703,               0.001703
                      5,                 0.4727,                0.24833,                 0.7916,                0.99938,                0.99889,                  0.995,                0.92106,                0.38114,                0.22784,                0.77341,               0.001604,               0.001604,               0.001604
                      6,                0.47347,                0.24754,                0.79204,                0.99926,                0.99866,                  0.995,                 0.9232,                0.37777,                0.22435,                0.77291,               0.001505,               0.001505,               0.001505
                      7,                 0.4776,                0.24824,                0.79336,                 0.9994,                0.99865,                  0.995,                0.91416,                0.38835,                0.23663,                0.77476,               0.001406,               0.001406,               0.001406
                      8,                 0.4709,                0.24543,                0.79313,                0.99974,                0.99852,                  0.995,                0.92413,                0.37809,                0.22198,                0.77376,               0.001307,               0.001307,               0.001307
                      9,                0.47197,                0.24483,                0.79134,                0.99956,                0.99914,                  0.995,                0.92052,                0.39354,                 0.2307,                0.77365,               0.001208,               0.001208,               0.001208
                     10,                0.46641,                0.24167,                 0.7926,                 0.9997,                0.99865,                  0.995,                0.92753,                0.36998,                0.21844,                0.77204,               0.001109,               0.001109,               0.001109
                     11,                0.44988,                0.23902,                0.78894,                0.99926,                0.99877,                  0.995,                0.91963,                0.38731,                0.23027,                0.77461,                0.00101,                0.00101,                0.00101
                     12,                0.44226,                0.23395,                0.78861,                0.99948,                0.99865,                  0.995,                0.91966,                0.38221,                0.22596,                 0.7736,               0.000911,               0.000911,               0.000911
                     13,                0.43784,                0.23242,                0.78776,                0.99912,                0.99877,                  0.995,                0.92221,                0.38391,                0.22812,                0.77373,               0.000812,               0.000812,               0.000812
                     14,                0.43622,                0.23068,                0.78769,                0.99948,                0.99865,                  0.995,                0.92309,                0.37697,                0.22472,                 0.7733,               0.000713,               0.000713,               0.000713
                     15,                0.43137,                 0.2278,                0.78654,                0.99951,                0.99905,                  0.995,                0.92479,                0.38158,                0.22057,                0.77292,               0.000614,               0.000614,               0.000614
                     16,                0.42935,                0.22303,                0.78592,                0.99962,                0.99865,                  0.995,                0.92373,                0.37773,                0.22196,                0.77274,               0.000515,               0.000515,               0.000515
                     17,                0.42831,                0.22158,                0.78599,                0.99918,                0.99877,                  0.995,                0.92612,                0.36796,                0.21558,                0.77159,               0.000416,               0.000416,               0.000416
                     18,                0.42419,                0.21775,                0.78497,                0.99936,                0.99865,                  0.995,                0.92694,                0.36351,                 0.2092,                 0.7717,               0.000317,               0.000317,               0.000317
                     19,                0.41815,                0.21423,                0.78609,                0.99925,                0.99865,                  0.995,                0.92902,                0.36104,                0.20852,                 0.7712,               0.000218,               0.000218,               0.000218
                     20,                0.41491,                0.21134,                0.78581,                0.99945,                0.99865,                  0.995,                0.92883,                0.36058,                0.20607,                0.77086,               0.000119,               0.000119,               0.000119
