                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1004,                0.61332,                0.59619,                0.92171,                0.80934,                0.93209,                0.47629,                 1.1168,                 0.8693,                0.58993,               0.069596,              0.0038348,              0.0038348
                      2,                 1.2331,                0.72678,                0.60316,                0.87491,                0.84364,                0.89952,                0.37644,                 1.3052,                0.98515,                0.60285,               0.038453,              0.0074747,              0.0074747
                      3,                 1.3218,                0.80204,                0.61472,                0.84457,                 0.6965,                0.80389,                 0.3696,                 1.3744,                 1.2209,                0.60705,               0.010459,               0.010459,               0.010459
                      4,                 1.3592,                0.81234,                 0.6196,                0.31212,                0.45525,                0.32535,                0.15684,                 1.2058,                 2.2146,                0.60453,               0.010089,               0.010089,               0.010089
                      5,                 1.2659,                0.76166,                0.61722,                0.90846,                0.85992,                0.89526,                0.42381,                 1.2166,                0.87943,                0.59869,              0.0097181,              0.0097181,              0.0097181
                      6,                  1.216,                0.71406,                0.61253,                0.93056,                0.62573,                0.77687,                0.42724,                 1.1986,                 1.4693,                 0.5968,              0.0093476,              0.0093476,              0.0093476
                      7,                 1.2066,                0.69682,                0.60595,                0.95287,                0.86546,                0.93054,                0.49073,                 1.0112,                0.69702,                0.58836,              0.0089771,              0.0089771,              0.0089771
                      8,                 1.1976,                 0.6901,                0.61311,                0.87673,                0.83027,                0.88978,                0.45463,                 1.0507,                0.95567,                0.59059,              0.0086066,              0.0086066,              0.0086066
                      9,                 1.1682,                0.70261,                0.60051,                 0.8355,                 0.7393,                0.83963,                 0.3796,                 1.3908,                 1.0601,                0.61375,              0.0082361,              0.0082361,              0.0082361
                     10,                 1.1486,                0.63288,                0.61058,                 0.9681,                0.91051,                0.96377,                0.57812,                0.89697,                0.54897,                0.58051,              0.0078656,              0.0078656,              0.0078656
                     11,                 1.1333,                0.63004,                0.60591,                0.93435,                0.94142,                 0.9753,                0.56344,                0.98145,                0.57925,                 0.5883,              0.0074952,              0.0074952,              0.0074952
                     12,                 1.0897,                 0.5865,                0.59601,                0.95391,                0.88584,                0.95089,                0.48793,                 1.0938,                0.62639,                0.58812,              0.0071247,              0.0071247,              0.0071247
                     13,                 1.1282,                0.61619,                0.60214,                0.85325,                0.86381,                0.89431,                0.39286,                 1.2472,                0.73638,                0.60382,              0.0067542,              0.0067542,              0.0067542
                     14,                 1.1066,                0.56408,                0.60052,                0.95794,                0.88625,                0.95993,                0.53051,                 1.0814,                0.86298,                0.59234,              0.0063837,              0.0063837,              0.0063837
                     15,                  1.074,                0.57906,                0.59313,                 0.9715,                0.94553,                 0.9785,                0.56507,                0.97529,                0.59662,                0.58226,              0.0060132,              0.0060132,              0.0060132
                     16,                 1.0445,                0.51919,                0.60013,                0.95742,                0.96247,                0.98087,                0.62375,                0.81041,                0.52338,                0.57958,              0.0056427,              0.0056427,              0.0056427
                     17,                 1.0207,                0.53167,                0.60317,                 0.9752,                0.91823,                0.96334,                 0.5431,                0.98592,                0.55947,                0.58707,              0.0052722,              0.0052722,              0.0052722
                     18,                 1.0717,                 0.5624,                0.59109,                0.96387,                0.93424,                0.96885,                0.57025,                0.93445,                0.55775,                0.58174,              0.0049018,              0.0049018,              0.0049018
                     19,                0.99551,                0.54391,                0.59195,                0.97947,                0.92823,                0.98087,                0.58079,                0.88374,                0.50564,                0.58139,              0.0045313,              0.0045313,              0.0045313
                     20,                0.99711,                0.53248,                 0.5951,                0.96598,                 0.9144,                0.96596,                0.51464,                 1.0251,                0.57923,                0.58319,              0.0041608,              0.0041608,              0.0041608
                     21,                0.94234,                0.49605,                0.58769,                0.95152,                0.93774,                0.97443,                0.59906,                0.89852,                0.53945,                0.57828,              0.0037903,              0.0037903,              0.0037903
                     22,                0.95142,                0.49294,                0.59297,                0.98358,                 0.9322,                0.96988,                0.54227,                 1.0136,                0.53426,                0.58497,              0.0034198,              0.0034198,              0.0034198
                     23,                0.91354,                0.46194,                0.60552,                0.96818,                0.94713,                0.97764,                0.58802,                0.88703,                0.49183,                 0.5796,              0.0030493,              0.0030493,              0.0030493
                     24,                0.89619,                0.46952,                0.59757,                0.97706,                0.92218,                0.98366,                0.61364,                0.84155,                0.47664,                 0.5802,              0.0026788,              0.0026788,              0.0026788
                     25,                0.88799,                0.45858,                0.59124,                0.96581,                0.95331,                0.98454,                0.56049,                0.92042,                0.49652,                0.57989,              0.0023084,              0.0023084,              0.0023084
                     26,                0.89219,                0.47532,                 0.5857,                0.96173,                0.96887,                0.98465,                0.58873,                0.94685,                0.48211,                 0.5799,              0.0019379,              0.0019379,              0.0019379
                     27,                0.92084,                0.46604,                0.58313,                0.96888,                0.96917,                0.98473,                0.59953,                0.86836,                0.48114,                0.57546,              0.0015674,              0.0015674,              0.0015674
                     28,                0.88758,                0.43692,                0.58946,                0.98829,                0.94942,                 0.9853,                0.62554,                0.81656,                0.43719,                 0.5749,              0.0011969,              0.0011969,              0.0011969
                     29,                0.85457,                0.42998,                0.59314,                0.97387,                0.96109,                0.98327,                0.64354,                0.74177,                0.43526,                0.57295,             0.00082643,             0.00082643,             0.00082643
                     30,                0.82242,                0.41387,                0.59196,                0.97648,                 0.9572,                0.98445,                0.62039,                0.77945,                0.42098,                0.57368,             0.00045594,             0.00045594,             0.00045594
