fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.0,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.0,0.00882,0.01,0.89863,0.0005,3.17729,0.8,7.77649,0.48704,1.5,0.01553,0.7,0.38549,0.0,0.10367,0.44396,0.0,0.0,0.0,0.49881,0.0,0.96813,0.0,0.0
0.0,0.01,0.00944,0.94022,0.0005,2.75129,0.7999,7.5,0.439,1.52685,0.01703,0.72226,0.39404,0.0,0.10007,0.5,0.0,0.0,0.0,0.51894,0.0,1.0,0.0,0.0
0.0,0.00991,0.00918,0.93951,0.00049,2.70771,0.80092,7.55821,0.44283,1.49785,0.0164,0.71289,0.39404,0.0,0.10007,0.51003,0.0,0.0,0.0,0.49967,0.0,1.0,0.0,0.0
0.0,0.01,0.01194,0.98,0.00048,3.46237,0.83877,7.5,0.36566,1.7659,0.01365,0.72482,0.39467,0.0,0.09474,0.57524,0.0,0.0,0.0,0.57782,0.0,1.0,0.0,0.0
0.0,0.01,0.01378,0.98,0.00048,3.46617,0.83877,7.5,0.36566,1.7659,0.01484,0.71005,0.39467,0.0,0.09689,0.55664,0.0,0.0,0.0,0.58819,0.0,1.0,0.0,0.0
0.0,0.00953,0.01,0.98,0.00055,3.1924,0.8,6.9072,0.5,1.64394,0.01515,0.9,0.29151,0.0,0.09669,0.5,0.0,0.0,0.0,0.5,0.0,0.82561,0.0,0.0
0.0,0.00916,0.01016,0.89863,0.00054,3.76278,0.83436,7.77649,0.39821,1.50355,0.01479,0.70472,0.39002,0.0,0.09688,0.3891,0.0,0.0,0.0,0.45075,0.0,0.9571,0.0,0.0
0.0,0.01071,0.00949,0.8975,0.0004,2.45616,0.80092,8.3053,0.3712,1.59818,0.0164,0.79465,0.40916,0.0,0.08352,0.47786,0.0,0.0,0.0,0.49967,0.0,0.97752,0.0,0.0
0.0,0.01,0.00878,0.94212,0.0005,3.0467,0.7999,7.5,0.439,1.52685,0.01703,0.80896,0.43714,0.0,0.08877,0.42135,0.0,0.0,0.0,0.58321,0.0,0.90568,0.0,0.0
0.0,0.01061,0.00944,0.93146,0.00048,2.75737,0.82399,7.51451,0.4585,1.56164,0.01702,0.68744,0.39125,0.0,0.10282,0.49905,0.0,0.0,0.0,0.54527,0.0,1.0,0.0,0.0
0.0,0.00989,0.00843,0.93635,0.00049,2.70771,0.82179,8.67177,0.49066,1.59723,0.01769,0.59171,0.38591,0.0,0.0934,0.51003,0.0,0.0,0.0,0.49967,0.0,0.96339,0.0,0.0
0.0,0.01003,0.00939,0.94219,0.0005,2.73554,0.80758,7.49226,0.43746,1.53392,0.01703,0.71863,0.39379,0.0,0.09935,0.499,0.0,0.0,0.0,0.51894,0.0,1.0,0.0,0.0
0.0,0.00821,0.00928,0.98,0.00049,2.8085,0.84018,7.42638,0.46934,1.57095,0.01542,0.9,0.44338,0.0,0.0871,0.56478,0.0,0.0,0.0,0.4328,0.0,1.0,0.0,0.0
0.0,0.01,0.01194,0.97996,0.00048,3.46237,0.8388,7.49886,0.3657,1.7659,0.01365,0.7248,0.39472,0.0,0.09474,0.57524,0.0,0.0,0.0,0.57787,0.0,0.99985,0.0,0.0
0.0,0.00878,0.00918,0.90109,0.00055,2.57583,0.79687,7.22467,0.44561,1.54734,0.01762,0.68857,0.35605,0.0,0.10611,0.51372,0.0,0.0,0.0,0.44856,0.0,0.96281,0.0,0.0
0.0,0.01111,0.00931,0.94022,0.00045,2.75129,0.84609,7.5,0.44842,1.69995,0.01537,0.76394,0.39404,0.0,0.1046,0.49273,0.0,0.0,0.0,0.51894,0.0,1.0,0.0,0.0
0.0,0.01025,0.01,0.89996,0.0005,3.642,0.60271,7.21894,0.48251,1.43668,0.01485,0.66472,0.35496,0.0,0.0987,0.51044,0.0,0.0,0.0,0.465,0.0,0.96379,0.0,0.0
0.0,0.01036,0.00925,0.9006,0.00053,3.75113,0.8,7.53428,0.47356,1.5,0.0189,0.80652,0.41545,0.0,0.11105,0.57671,0.0,0.0,0.0,0.45133,0.0,1.0,0.0,0.0
0.0,0.00991,0.00918,0.86674,0.00049,2.07868,0.7782,7.70708,0.49629,1.94056,0.01364,0.7716,0.41036,0.0,0.10007,0.57807,0.0,0.0,0.0,0.49967,0.0,1.0,0.0,0.0
0.0,0.01313,0.00814,0.92451,0.00049,2.7134,0.80092,8.83193,0.49136,1.51837,0.01267,0.48848,0.38422,0.0,0.10605,0.39968,0.0,0.0,0.0,0.50077,0.0,1.0,0.0,0.0
0.0,0.00967,0.01371,0.96993,0.00048,4.15203,0.67355,7.5,0.36913,1.85142,0.01478,0.70056,0.38364,0.0,0.08006,0.50182,0.0,0.0,0.0,0.64986,0.0,0.97284,0.0,0.0
0.0,0.00991,0.00918,0.95178,0.00045,2.26937,0.67558,7.69768,0.40023,1.42992,0.01615,0.76165,0.3727,0.0,0.09878,0.47936,0.0,0.0,0.0,0.54547,0.0,0.94186,0.0,0.0
0.0,0.01307,0.01072,0.96667,0.00054,3.10216,0.84671,7.58347,0.60293,1.54787,0.015,0.66305,0.30957,0.0,0.10808,0.59004,0.0,0.0,0.0,0.44509,0.0,0.81301,0.0,0.0
0.0,0.00755,0.01024,0.8942,0.00047,3.54171,0.8364,7.77649,0.44551,1.50569,0.01553,0.64427,0.37856,0.0,0.10494,0.44684,0.0,0.0,0.0,0.42368,0.0,0.92481,0.0,0.0
0.0,0.00945,0.00932,0.94304,0.00051,2.57614,0.86111,7.24411,0.44283,1.37594,0.01495,0.63166,0.39851,0.0,0.09506,0.52588,0.0,0.0,0.0,0.46619,0.0,1.0,0.0,0.0
0.0,0.01,0.0117,0.98,0.00046,3.46237,0.82673,7.5,0.36566,1.50151,0.01622,0.68662,0.39413,0.0,0.10149,0.50193,0.0,0.0,0.0,0.5323,0.0,0.87785,0.0,0.0
0.0,0.0101,0.00997,0.94678,0.00047,2.80124,0.81517,7.10735,0.43879,1.36165,0.01616,0.73658,0.40411,0.0,0.11177,0.56203,0.0,0.0,0.0,0.46634,0.0,1.0,0.0,0.0
0.0,0.00991,0.01122,0.94517,0.00062,2.89404,0.66469,7.34451,0.53396,1.12812,0.0164,0.58183,0.39404,0.0,0.09721,0.58464,0.0,0.0,0.0,0.47139,0.0,1.0,0.0,0.0
0.0,0.00954,0.00918,0.91048,0.00046,2.45223,0.79731,7.55821,0.44283,1.33699,0.0164,0.61293,0.35778,0.0,0.10717,0.48331,0.0,0.0,0.0,0.49967,0.0,1.0,0.0,0.0
0.0,0.00808,0.00798,0.93468,0.00057,3.06401,0.6055,8.25986,0.53139,1.53062,0.01533,0.78791,0.39718,0.0,0.10479,0.44766,0.0,0.0,0.0,0.59654,0.0,0.96813,0.0,0.0
0.0,0.00842,0.00934,0.91109,0.00047,3.24212,0.91373,8.29755,0.52457,1.5,0.01652,0.7,0.38549,0.0,0.10441,0.46834,0.0,0.0,0.0,0.47388,0.0,0.86822,0.0,0.0
0.0,0.01002,0.0122,0.98,0.00047,3.41217,0.82748,7.35622,0.36978,1.7659,0.01366,0.7157,0.39582,0.0,0.09628,0.57529,0.0,0.0,0.0,0.56845,0.0,0.99248,0.0,0.0
0.0,0.00991,0.00921,0.94212,0.0005,2.72424,0.80092,7.34875,0.44213,1.49198,0.0164,0.71289,0.39085,0.0,0.10076,0.51003,0.0,0.0,0.0,0.49815,0.0,1.0,0.0,0.0
0.0,0.01,0.01194,0.96768,0.00054,3.59943,0.83877,8.45363,0.36566,1.5706,0.01566,0.67525,0.45376,0.0,0.09668,0.57524,0.0,0.0,0.0,0.44811,0.0,0.94852,0.0,0.0
0.0,0.0116,0.00913,0.94973,0.0005,3.25324,0.88717,7.7316,0.47289,1.5,0.01441,0.72917,0.41859,0.0,0.10323,0.48181,0.0,0.0,0.0,0.55744,0.0,1.0,0.0,0.0
0.0,0.01208,0.01025,0.93951,0.00044,2.94824,0.95,7.56309,0.41063,1.58595,0.01781,0.73184,0.27954,0.0,0.08101,0.47685,0.0,0.0,0.0,0.56061,0.0,1.0,0.0,0.0
0.0,0.01,0.00978,0.94022,0.00048,2.75129,0.71293,7.22551,0.47037,1.58183,0.01795,0.70629,0.37987,0.0,0.07825,0.40062,0.0,0.0,0.0,0.52443,0.0,1.0,0.0,0.0
0.0,0.00898,0.00885,0.92365,0.00051,2.56955,0.90342,6.05451,0.439,1.52685,0.01737,0.72226,0.4213,0.0,0.10007,0.48897,0.0,0.0,0.0,0.51794,0.0,0.91912,0.0,0.0
0.0,0.00785,0.01023,0.93951,0.00052,2.60292,0.81157,7.55821,0.37941,1.29188,0.0164,0.63698,0.32112,0.0,0.08794,0.5633,0.0,0.0,0.0,0.49607,0.0,1.0,0.0,0.0
