fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.64831,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.66894,0.0081,0.01,0.94053,0.00051,3.0,0.95,7.14205,0.49281,1.49647,0.01528,0.53778,0.40973,0.0,0.08837,0.55632,0.0,0.0,0.0,0.55265,0.0,1.0,0.0,0.0
0.61744,0.00839,0.0139,0.88949,0.00061,3.0,0.95,7.08954,0.469,1.36078,0.01374,0.56053,0.30776,0.0,0.08996,0.64362,0.0,0.0,0.0,0.55265,0.0,1.0,0.0,0.0
0.63876,0.00823,0.01035,0.94053,0.00047,3.0,0.95,6.11822,0.45791,1.49647,0.01528,0.52745,0.32559,0.0,0.08837,0.5886,0.0,0.0,0.0,0.60106,0.0,1.0,0.0,0.0
0.64304,0.00801,0.00978,0.93825,0.00052,3.0076,0.95,7.14173,0.49601,1.49451,0.0157,0.54356,0.40277,0.0,0.08886,0.55632,0.0,0.0,0.0,0.55265,0.0,0.99147,0.0,0.0
0.63722,0.01,0.00957,0.937,0.00044,2.36374,0.8,8.00168,0.43559,1.49225,0.015,0.84419,0.42565,0.0,0.12149,0.55783,0.0,0.0,0.0,0.5,0.0,0.91251,0.0,0.0
0.61836,0.00823,0.00978,0.93825,0.00044,3.3551,0.95,6.62438,0.52136,1.58131,0.01599,0.54356,0.39571,0.0,0.08504,0.6356,0.0,0.0,0.0,0.55265,0.0,0.87273,0.0,0.0
0.64349,0.0081,0.00998,0.94334,0.00051,3.03229,0.94342,7.10119,0.48151,1.43819,0.01471,0.53414,0.41022,0.0,0.08837,0.55632,0.0,0.0,0.0,0.54832,0.0,1.0,0.0,0.0
0.6468,0.00706,0.01204,0.96555,0.00069,3.22315,0.76152,8.81803,0.49692,1.3839,0.01492,0.34192,0.40231,0.0,0.12132,0.41868,0.0,0.0,0.0,0.37641,0.0,1.0,0.0,0.0
0.63206,0.00862,0.01151,0.92425,0.00051,2.77535,0.89667,7.46955,0.52791,1.48934,0.01421,0.55229,0.45447,0.0,0.08137,0.55632,0.0,0.0,0.0,0.55265,0.0,1.0,0.0,0.0
0.68995,0.00689,0.01166,0.96555,0.00068,3.1832,0.78227,8.81803,0.45004,1.37512,0.01492,0.32129,0.40231,0.0,0.12002,0.42479,0.0,0.0,0.0,0.39005,0.0,0.95349,0.0,0.0
0.61597,0.00889,0.01,0.94495,0.0005,2.96615,0.95,6.8913,0.49391,1.67169,0.01514,0.53304,0.37397,0.0,0.10166,0.55632,0.0,0.0,0.0,0.57557,0.0,0.9945,0.0,0.0
0.66729,0.00665,0.01123,0.93866,0.00062,3.17148,0.80856,8.10796,0.45004,1.50414,0.01492,0.32129,0.40231,0.0,0.12166,0.41615,0.0,0.0,0.0,0.36956,0.0,0.91937,0.0,0.0
0.68063,0.00669,0.01077,0.96555,0.00073,3.1832,0.88681,10.93819,0.47027,1.33287,0.01413,0.30628,0.38019,0.0,0.13084,0.42479,0.0,0.0,0.0,0.39781,0.0,0.86736,0.0,0.0
0.64107,0.00686,0.01166,0.96397,0.00067,3.38725,0.74734,8.88801,0.448,1.30618,0.01633,0.32129,0.40629,0.0,0.12002,0.35545,0.0,0.0,0.0,0.35298,0.0,0.84435,0.0,0.0
0.6499,0.00732,0.01253,0.94436,0.00068,2.71222,0.87939,9.49139,0.4421,1.42245,0.01312,0.32129,0.36876,0.0,0.12002,0.42479,0.0,0.0,0.0,0.41054,0.0,0.96837,0.0,0.0
0.66341,0.00669,0.01077,0.96555,0.00072,3.46504,0.89786,11.26183,0.42718,1.49817,0.01404,0.27095,0.38019,0.0,0.1399,0.43933,0.0,0.0,0.0,0.39781,0.0,0.91396,0.0,0.0
0.63692,0.00745,0.01046,0.90774,0.0007,3.13192,0.94807,10.93819,0.56481,1.33287,0.01413,0.34394,0.44838,0.0,0.08003,0.46893,0.0,0.0,0.0,0.48099,0.0,0.76284,0.0,0.0
0.64151,0.00821,0.01001,0.94053,0.00051,3.02368,0.95,7.23595,0.50021,1.47119,0.01532,0.54145,0.40973,0.0,0.08801,0.55586,0.0,0.0,0.0,0.55873,0.0,0.99616,0.0,0.0
0.66302,0.00689,0.01166,0.96555,0.00068,3.43183,0.70101,8.22186,0.53697,1.22389,0.01308,0.30615,0.36008,0.0,0.138,0.43559,0.0,0.0,0.0,0.39005,0.0,1.0,0.0,0.0
0.62449,0.00906,0.01439,0.98,0.00051,3.20146,0.95,5.36306,0.52479,1.16543,0.01528,0.42382,0.40973,0.0,0.06134,0.52588,0.0,0.0,0.0,0.62946,0.0,1.0,0.0,0.0
0.66124,0.00738,0.01173,0.97221,0.00075,3.1832,0.88681,11.95101,0.47217,1.26427,0.01381,0.31017,0.38019,0.0,0.13486,0.40423,0.0,0.0,0.0,0.37223,0.0,0.94002,0.0,0.0
0.6095,0.00887,0.01038,0.89944,0.00051,3.40571,0.84399,7.08628,0.50517,1.68371,0.01544,0.53778,0.4741,0.0,0.09046,0.65166,0.0,0.0,0.0,0.51346,0.0,1.0,0.0,0.0
0.68584,0.00665,0.01156,0.94292,0.00066,2.70558,0.86471,8.10796,0.45004,2.1038,0.01864,0.32129,0.4206,0.0,0.12958,0.3611,0.0,0.0,0.0,0.36956,0.0,1.0,0.0,0.0
0.65321,0.00772,0.00825,0.98,0.00066,2.6791,0.86471,8.84043,0.44012,2.6063,0.01864,0.30457,0.37516,0.0,0.13061,0.46522,0.0,0.0,0.0,0.36956,0.0,0.81166,0.0,0.0
0.64748,0.00976,0.01153,0.98,0.00068,3.1053,0.78227,9.08912,0.45004,1.73189,0.01666,0.34704,0.50279,0.0,0.06894,0.4002,0.0,0.0,0.0,0.38954,0.0,0.74805,0.0,0.0
0.67236,0.00818,0.01265,0.96555,0.00081,3.82351,0.69256,8.09266,0.45004,1.40931,0.01383,0.33014,0.40231,0.0,0.09406,0.42479,0.0,0.0,0.0,0.25832,0.0,0.91764,0.0,0.0
0.66177,0.00697,0.0109,0.96555,0.00058,2.13623,0.78227,8.79194,0.36638,1.00571,0.01557,0.35129,0.4898,0.0,0.12387,0.447,0.0,0.0,0.0,0.40974,0.0,1.0,0.0,0.0
0.67655,0.00679,0.00955,0.95584,0.00068,3.04057,0.75027,8.23811,0.49723,1.0633,0.01492,0.32129,0.37864,0.0,0.12002,0.38443,0.0,0.0,0.0,0.36754,0.0,0.90292,0.0,0.0
0.65967,0.0073,0.01163,0.96474,0.00072,3.09682,0.76929,8.92932,0.45004,1.39247,0.01492,0.32129,0.40672,0.0,0.12329,0.42163,0.0,0.0,0.0,0.38875,0.0,0.95349,0.0,0.0
0.64776,0.00689,0.00874,0.94611,0.00053,3.1832,0.85695,9.28531,0.41653,1.92201,0.01567,0.36437,0.30488,0.0,0.11917,0.41078,0.0,0.0,0.0,0.40766,0.0,0.86523,0.0,0.0
0.65921,0.00689,0.01094,0.96555,0.00061,3.51711,0.95,9.07527,0.45004,1.08806,0.01451,0.32129,0.3903,0.0,0.12002,0.39503,0.0,0.0,0.0,0.38767,0.0,0.99771,0.0,0.0
