                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5092,                 4.7025,                 1.5953,                0.49207,                0.33557,                0.34149,                0.15762,                 1.8473,                 1.8127,                 1.3828,             8.4352e-05,             8.4352e-05,             8.4352e-05
                      2,                 1.7985,                 2.3927,                 1.2717,                0.59357,                0.55305,                0.58784,                0.31082,                 1.5364,                  1.145,                 1.2002,             0.00016409,             0.00016409,             0.00016409
                      3,                 1.5664,                 1.9901,                 1.1699,                 0.6058,                0.68418,                0.66964,                0.36852,                 1.3598,                 1.0174,                 1.1276,             0.00023819,             0.00023819,             0.00023819
                      4,                 1.4624,                 1.7609,                 1.1257,                0.64177,                0.69055,                0.68415,                0.39544,                  1.307,                0.97203,                 1.0987,             0.00023066,             0.00023066,             0.00023066
                      5,                 1.3694,                 1.5897,                 1.0751,                0.67222,                0.69399,                 0.7028,                0.40982,                 1.2452,                0.92645,                 1.0817,             0.00022221,             0.00022221,             0.00022221
                      6,                 1.3663,                   1.53,                 1.0852,                0.70494,                  0.723,                0.73616,                0.42149,                 1.2273,                0.88853,                 1.0672,             0.00021376,             0.00021376,             0.00021376
                      7,                 1.2894,                 1.4145,                 1.0405,                0.72132,                0.72049,                0.74528,                0.44706,                 1.1617,                0.87397,                 1.0432,             0.00020531,             0.00020531,             0.00020531
                      8,                  1.235,                 1.3673,                 1.0263,                0.73116,                0.70977,                0.74113,                 0.4544,                 1.1339,                0.83633,                 1.0236,             0.00019686,             0.00019686,             0.00019686
                      9,                   1.21,                  1.329,                 1.0235,                0.74278,                0.71724,                0.74958,                0.46728,                 1.1226,                0.83979,                 1.0187,             0.00018842,             0.00018842,             0.00018842
                     10,                  1.181,                 1.2893,                 1.0139,                0.74008,                0.75359,                0.76546,                 0.4883,                 1.0538,                0.79813,                 1.0019,             0.00017997,             0.00017997,             0.00017997
                     11,                 1.1542,                  1.234,                0.99619,                0.72633,                0.73808,                0.75611,                0.49668,                 1.0306,                0.79535,                0.98064,             0.00017152,             0.00017152,             0.00017152
                     12,                 1.1126,                 1.1865,                0.98177,                0.74777,                0.75291,                0.76708,                0.49736,                 1.0657,                0.77718,                0.98728,             0.00016307,             0.00016307,             0.00016307
                     13,                 1.0888,                 1.1557,                0.97646,                0.73728,                0.74979,                0.76778,                0.50413,                 1.0288,                0.75766,                 0.9763,             0.00015462,             0.00015462,             0.00015462
                     14,                  1.078,                 1.1238,                0.98885,                0.74367,                0.75075,                0.77298,                0.51926,                0.99161,                0.73086,                0.96158,             0.00014618,             0.00014618,             0.00014618
                     15,                 1.0402,                 1.0758,                0.95536,                0.74686,                0.73895,                0.76922,                0.51872,                0.96338,                0.72126,                0.95211,             0.00013773,             0.00013773,             0.00013773
                     16,                 1.0507,                 1.0773,                0.95906,                0.73531,                0.74856,                0.76939,                0.52341,                0.93177,                0.71567,                0.94033,             0.00012928,             0.00012928,             0.00012928
                     17,                  1.012,                 1.0252,                0.94437,                0.74932,                0.74674,                0.77519,                0.53737,                0.90136,                0.68998,                0.92919,             0.00012083,             0.00012083,             0.00012083
