                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2213,                 5.8941,                 1.7579,                0.17618,                0.46656,                0.34775,                0.14188,                 2.0619,                 3.3865,                 1.8022,             8.3862e-05,             8.3862e-05,             8.3862e-05
                      2,                 1.6402,                 2.9229,                 1.3691,                 0.7502,                0.69734,                0.69188,                0.37368,                 1.4983,                0.90335,                 1.2976,             0.00015245,             0.00015245,             0.00015245
                      3,                 1.4059,                 2.3024,                 1.2385,                0.80693,                0.74274,                0.71985,                0.41427,                 1.3177,                0.76328,                 1.1738,             0.00020413,             0.00020413,             0.00020413
                      4,                 1.2795,                 2.0053,                 1.1608,                0.81276,                0.74093,                0.72694,                0.43332,                 1.2245,                0.70978,                 1.1219,             0.00017997,             0.00017997,             0.00017997
                      5,                 1.2133,                 1.8721,                 1.1277,                0.72909,                0.74545,                0.73173,                 0.4483,                 1.1868,                0.69618,                 1.0894,             0.00015462,             0.00015462,             0.00015462
                      6,                 1.1455,                 1.7979,                  1.099,                0.73138,                0.75088,                 0.7403,                0.46516,                 1.1368,                0.66925,                 1.0708,             0.00012928,             0.00012928,             0.00012928
                      7,                 1.1015,                 1.7011,                 1.0714,                0.73187,                0.74971,                0.74452,                0.47446,                  1.081,                0.64768,                 1.0425,             0.00010394,             0.00010394,             0.00010394
                      8,                 1.0715,                 1.6673,                 1.0589,                0.73406,                0.75216,                0.74333,                0.48124,                 1.0497,                0.63175,                 1.0287,             7.8592e-05,             7.8592e-05,             7.8592e-05
                      9,                 1.0427,                 1.6159,                 1.0489,                0.73962,                0.75372,                0.74668,                0.48829,                 1.0388,                0.62399,                 1.0209,             5.3248e-05,             5.3248e-05,             5.3248e-05
                     10,                 1.0335,                 1.5869,                  1.042,                0.73868,                0.75692,                0.74688,                0.49013,                 1.0243,                0.62007,                 1.0154,             2.7904e-05,             2.7904e-05,             2.7904e-05
